competition,season,status,rows,source,reason,error
UCL,2013/14,AVAILABLE,125,openfootball,,
UCL,2014/15,AVAILABLE,125,openfootball,,
UCL,2015/16,AVAILABLE,125,openfootball,,
UCL,2016/17,AVAILABLE,125,openfootball,,
UCL,2017/18,AVAILABLE,125,openfootball,,
UCL,2018/19,AVAILABLE,125,openfootball,,
UCL,2019/20,AVAILABLE,119,openfootball,,
UCL,2020/21,AVAILABLE,125,openfootball,,
UCL,2021/22,AVAILABLE,125,openfootball,,
UCL,2022/23,AVAILABLE,125,openfootball,,
UCL,2023/24,AVAILABLE,125,openfootball,,
UCL,2024/25,AVAILABLE,189,openfootball,,
UCL,2025/26,AVAILABLE,189,openfootball,,
UEL,2010/11,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2010-11/el.txt
UEL,2011/12,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2011-12/el.txt
UEL,2012/13,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2012-13/el.txt
UEL,2013/14,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2013-14/el.txt
UEL,2014/15,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2014-15/el.txt
UEL,2015/16,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2015-16/el.txt
UEL,2016/17,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2016-17/el.txt
UEL,2017/18,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2017-18/el.txt
UEL,2018/19,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2018-19/el.txt
UEL,2019/20,UNAVAILABLE,0,openfootball,,404 Client Error: Not Found for url: https://raw.githubusercontent.com/openfootball/champions-league/master/2019-20/el.txt
UEL,2020/21,AVAILABLE,205,openfootball,,
UEL,2021/22,AVAILABLE,139,openfootball,,
UEL,2022/23,AVAILABLE,141,openfootball,,
UEL,2023/24,AVAILABLE,141,openfootball,,
UEL,2024/25,AVAILABLE,189,openfootball,,
